Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 1,Dothan,Government,2,Below,Above,Below,Below,Same,Above,Same,23394,Average,Average,17041,Average,Average,18281,Average,Average,25812,Average,Higher
Hospital 2,Boaz,Government,1,Below,Below,Below,Same,Above,Above,Below,22579,Average,Average,15819,Worse,Average,15614,Worse,Lower,22747,Average,Average
Hospital 3,Florence,Government,3,Below,Above,Above,Below,Same,Above,Below,24002,Average,Average,16334,Average,Average,17371,Average,Average,24491,Average,Higher
Hospital 4,Opp,Private,1,Same,Same,Below,Below,Below,Above,None,0,Unknown,Unknown,14541,Average,Lower,15226,Worse,Lower,23472,Average,Average
Hospital 5,Luverne,Proprietary,4,Same,None,Above,None,Same,Above,None,0,Unknown,Unknown,13767,Average,Lower,14341,Average,Lower,0,Unknown,Unknown
Hospital 6,Birmingham,Private,2,Same,Below,Below,Below,Below,Below,Same,23940,Average,Average,16132,Average,Average,17848,Average,Average,23792,Average,Higher
Hospital 7,Fort Payne,Proprietary,2,Below,Above,Below,Below,Same,Above,Same,23853,Average,Average,15761,Average,Average,17896,Worse,Average,0,Unknown,Unknown
Hospital 8,Alabaster,Private,2,Same,Below,Above,Below,Same,Same,Below,24008,Average,Average,17937,Average,Higher,18858,Average,Higher,22367,Average,Average
Hospital 9,Birmingham,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 10,Sheffield,Government,3,Same,Above,Below,Same,Same,Above,Below,22948,Average,Average,17311,Average,Average,17516,Average,Average,23130,Average,Higher
Hospital 11,Ozark,Government,3,Same,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,17651,Average,Average,17581,Average,Average,0,Unknown,Unknown
Hospital 12,Centre,Private,4,Same,None,Above,Above,Same,Same,None,0,Unknown,Unknown,17098,Average,Average,13812,Average,Lower,0,Unknown,Unknown
Hospital 13,Montgomery,Government,2,Below,Above,Below,Below,Same,Below,Same,23467,Average,Average,16826,Average,Average,19776,Average,Higher,20867,Average,Lower
Hospital 14,Montgomery,Private,2,Below,Below,Above,Same,Same,Below,Below,25850,Average,Higher,16463,Average,Average,17710,Worse,Average,21867,Average,Average
